id	latitude	longitude	country	countryshape	countrycolour	region	year	serotype	inferred serotype	ST	inferredST	source	ENA Accession	Isolate Name
539268	66.0685282	-18.4163704	Iceland	circle	#FFA500	Eyjafjordur	1993	6B	6C	90	90	Nasopharynx	ERR028757	spnIC187
539269	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1993	6B	6C	90	90	Middle ear	ERR028758	spnIC190
539271	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1994	6B	6C	90	90	Parotid gland	ERR028760	spnIC203
539272	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1994	6B	6C	90	90	Nasopharynx	ERR028764	spnIC210
539274	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C	90	90	Middle ear	ERR028766	spnIC419
539275	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C	90	90	Middle ear	ERR028767	spnIC425
539276	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C	90	90	Middle ear	ERR028768	spnIC426
539277	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C	90	90	Middle Ear	ERR028769	spnIC432
539278	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C	90	90	Nasopharynx	ERR028770	spnIC434
539279	63.8441808	-22.4383818	Iceland	circle	#FFA500	Grindavik	1996	6B	6C	90	90	Nasopharynx	ERR028771	spnIC463
550431	35.907757	127.766922	Korea	circle	#0000FF		2008	6B	6C	90	90	Sputum	ERR029278	K130810
5504310	35.907757	127.766922	Korea	circle	#0000FF		2007	6B	6C	90	3387	Sputum	ERR029279	K01071280
